"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01";"A";"2";"Crop and animal production, hunting and related service activities";"Crop and animal production, hunting";""
"01.1";"01";"3";"Growing of non-perennial crops";"Growing of non-perennial crops";"Includes also: orn"
"01.2";"01";"3";"Growing of perennial crops";"Growing of perennial crops";""
"01.3";"01";"3";"Plant propagation";"Plant propagation";""
"01.4";"01";"3";"Animal production";"Animal production";""
"01.5";"01";"3";"Mixed farming";"Mixed farming";""
"01.6";"01";"3";"Support activities to agriculture and post-harvest crop activities";"Support activities to agriculture";""
"01.7";"01";"3";"Hunting, trapping and related service activities";"Hunting, trapping, and rel.serv.act.";""
"01.11";"01.1";"4";"Growing of cereals (except rice), leguminous crops and oil seeds";"Growing of cereals, crops etc.";""
"01.12";"01.1";"4";"Growing of rice";"Growing of rice";""
"01.13";"01.1";"4";"Growing of vegetables and melons, roots and tubers";"Growing of vegetables etc.";""
"01.14";"01.1";"4";"Growing of sugar cane";"Growing of sugar cane";""
"01.15";"01.1";"4";"Growing of tobacco";"Growing of tobacco";""
"01.16";"01.1";"4";"Growing of fibre crops";"Growing of fibre crops";""
"01.19";"01.1";"4";"Growing of other non-perennial crops";"Growing of other non-perennial crops";""
"01.21";"01.2";"4";"Growing of grapes";"Growing of grapes";""
"01.22";"01.2";"4";"Growing of tropical and subtropical fruits";"Growing of trop./subtrop. fruits";""
"01.23";"01.2";"4";"Growing of citrus fruits";"Growing of citrus fruits";""
"01.24";"01.2";"4";"Growing of pome fruits and stone fruits";"Growing of pome fruits/stone fruits";""
"01.25";"01.2";"4";"Growing of other tree and bush fruits and nuts";"Grow. of other fruits, nuts etc.";""
"01.26";"01.2";"4";"Growing of oleaginous fruits";"Growing of oleaginous fruits";""
"01.27";"01.2";"4";"Growing of beverage crops";"Growing of beverage crops";""
"01.28";"01.2";"4";"Growing of spices, aromatic, drug and pharmaceutical crops";"Growing of spices etc.";""
"01.29";"01.2";"4";"Growing of other perennial crops";"Growing of other perennial crops";""
"01.30";"01.3";"4";"Plant propagation";"Plant propagation";""
"01.41";"01.4";"4";"Raising of dairy cattle";"Raising of dairy cattle";""
"01.42";"01.4";"4";"Raising of other cattle and buffaloes";"Raising of other cattle/buffaloes";""
"01.43";"01.4";"4";"Raising of horses and other equines";"Raising of horses/other equines";""
"01.44";"01.4";"4";"Raising of camels and camelids";"Raising of camels and camelids";""
"01.45";"01.4";"4";"Raising of sheep and goats";"Raising of sheep and goats";""
"01.46";"01.4";"4";"Raising of swine/pigs";"Raising of swine/pigs";""
"01.47";"01.4";"4";"Raising of poultry";"Raising of poultry";""
"01.49";"01.4";"4";"Raising of other animals";"Raising of other animals";""
"01.50";"01.5";"4";"Mixed farming";"Mixed farming";""
"01.61";"01.6";"4";"Support activities for crop production";"Supp. act. for crop production";""
"01.62";"01.6";"4";"Support activities for animal production";"Supp. act. for animal production";""
"01.63";"01.6";"4";"Post-harvest crop activities";"Post-harvest crop activities";""
"01.64";"01.6";"4";"Seed processing for propagation";"Seed processing for propagation";""
"01.70";"01.7";"4";"Hunting, trapping and related service activities";"Hunting, trapping and rel. serv. act";""
"01.110";"01.11";"5";"Growing of cereals (except rice), leguminous crops and oil seeds";"Growing of cereals, crops etc.";""
"01.120";"01.12";"5";"Growing of rice";"Growing of rice";""
"01.130";"01.13";"5";"Growing of vegetables and melons, roots and tubers";"Growing of vegetables etc.";""
"01.140";"01.14";"5";"Growing of sugar cane";"Growing of sugar cane";""
"01.150";"01.15";"5";"Growing of tobacco";"Growing of tobacco";""
"01.160";"01.16";"5";"Growing of fibre crops";"Growing of fibre crops";""
"01.190";"01.19";"5";"Growing of other non-perennial crops";"Growing of other non-perennial crops";""
"01.210";"01.21";"5";"Growing of grapes";"Growing of grapes";""
"01.220";"01.22";"5";"Growing of tropical and subtropical fruits";"Growing of trop./subtrop. fruits";""
"01.230";"01.23";"5";"Growing of citrus fruits";"Growing of citrus fruits";""
"01.240";"01.24";"5";"Growing of pome fruits and stone fruits";"Growing of pome fruits/stone fruits";""
"01.250";"01.25";"5";"Growing of other tree and bush fruits and nuts";"Growing of other fruits, nuts etc.";""
"01.260";"01.26";"5";"Growing of oleaginous fruits";"Growing of oleaginous fruits";""
"01.270";"01.27";"5";"Growing of beverage crops";"Growing of beverage crops";""
"01.280";"01.28";"5";"Growing of spices, aromatic, drug and pharmaceutical crops";"Growing of spices etc.";""
"01.290";"01.29";"5";"Growing of other perennial crops";"Growing of other perennial crops";""
"01.300";"01.30";"5";"Plant propagation";"Plant propagation";""
"01.410";"01.41";"5";"Raising of dairy cattle";"Raising of dairy cattle";""
"01.420";"01.42";"5";"Raising of other cattle and buffaloes";"Raising of other cattle/buffaloes";""
"01.430";"01.43";"5";"Raising of horses and other equines";"Raising of horses/other equines";""
"01.440";"01.44";"5";"Raising of camels and camelids";"Raising of camels and camelids";""
"01.451";"01.45";"5";"Raising of sheep";"Raising of sheep";""
"01.452";"01.45";"5";"Raising of goats";"Raising of goats";""
"01.460";"01.46";"5";"Raising of swine/pigs";"Raising of swine/pigs";""
"01.471";"01.47";"5";"Farming of laying hens for production of eggs for consumption";"Laying hens for egg production";""
"01.479";"01.47";"5";"Raising of other poultry";"Raising of other poultry";""
"01.490";"01.49";"5";"Raising of other animals";"Raising of other animals";""
"01.500";"01.50";"5";"Mixed farming";"Mixed farming";""
"01.610";"01.61";"5";"Support activities for crop production";"Supp. act. for crop production";""
"01.620";"01.62";"5";"Support activities for animal production";"Supp. act. for animal production";""
"01.630";"01.63";"5";"Post-harvest crop activities";"Post-harvest crop activities";""
"01.640";"01.64";"5";"Seed processing for propagation";"Seed processing for propagation";""
"01.700";"01.70";"5";"Hunting, trapping and related service activities";"Hunting, trapping and rel. serv. act";""
"02";"A";"2";"Forestry and logging";"Forestry and logging";""
"02.1";"02";"3";"Silviculture and other forestry activities";"Silviculture, other forestry act.";""
"02.2";"02";"3";"Logging";"Logging";""
"02.3";"02";"3";"Gathering of wild growing non-wood products";"Gathering of berries, mushrooms etc.";""
"02.4";"02";"3";"Support services to forestry";"Support services to forestry";""
"02.10";"02.1";"4";"Silviculture and other forestry activities";"Silviculture, other forestry act.";""
"02.20";"02.2";"4";"Logging";"Logging";""
"02.30";"02.3";"4";"Gathering of wild growing non-wood products";"Gathering of mushrooms, berries etc.";""
"02.40";"02.4";"4";"Support services to forestry";"Support services to forestry";""
"02.100";"02.10";"5";"Silviculture and other forestry activities";"Silviculture, other forestry act.";""
"02.200";"02.20";"5";"Logging";"Logging";""
"02.300";"02.30";"5";"Gathering of wild growing non-wood products";"Gathering of mushrooms, berries etc.";""
"02.400";"02.40";"5";"Support services to forestry";"Support services to forestry";""
"03";"A";"2";"Fishing and aquaculture";"Fishing and aquaculture";""
"03.1";"03";"3";"Fishing";"Fishing";""
"03.2";"03";"3";"Aquaculture";"Aquaculture";""
"03.11";"03.1";"4";"Marine fishing";"Marine fishing";""
"03.12";"03.1";"4";"Freshwater fishing";"Freshwater fishing";""
"03.21";"03.2";"4";"Marine aquaculture";"Marine aquaculture";""
"03.22";"03.2";"4";"Freshwater aquaculture";"Freshwater aquaculture";""
"03.111";"03.11";"5";"Ocean and coastal water fishing";"Ocean and coastal water fishing";""
"03.112";"03.11";"5";"Whaling";"Whaling";""
"03.120";"03.12";"5";"Freshwater fishing";"Freshwater fishing";""
"03.211";"03.21";"5";"Operation of marine fish farms";"Oper. of marine fish farms";""
"03.212";"03.21";"5";"Operation of marine hatcheries";"Oper. of marine hatcheries";""
"03.213";"03.21";"5";"Marine fish farming services";"Marine fish farming services";""
"03.221";"03.22";"5";"Operation of freshwater fish farms";"Oper. of freshwater fish farms";""
"03.222";"03.22";"5";"Operation of freshwater hatcheries";"Oper. of freshwater hatcheries";""
"03.223";"03.22";"5";"Freshwater fish farming services";"Freshwater fish farming services";""
"05";"B";"2";"Mining of coal and lignite";"Mining of coal and lignite";""
"05.1";"05";"3";"Mining of hard coal";"Mining of hard coal";""
"05.2";"05";"3";"Mining of lignite";"Mining of lignite";""
"05.10";"05.1";"4";"Mining of hard coal";"Mining of hard coal";""
"05.20";"05.2";"4";"Mining of lignite";"Mining of lignite";""
"05.100";"05.10";"5";"Mining of hard coal";"Mining of hard coal";""
"05.200";"05.20";"5";"Mining of lignite";"Mining of lignite";""
"06";"B";"2";"Extraction of crude petroleum and natural gas";"Extraction of oil and natural gas";""
"06.1";"06";"3";"Extraction of crude petroleum";"Extraction of crude petroleum";""
"06.2";"06";"3";"Extraction of natural gas";"Extraction of natural gas";""
"06.10";"06.1";"4";"Extraction of crude petroleum";"Extraction of crude petroleum";""
"06.20";"06.2";"4";"Extraction of natural gas";"Extraction of natural gas";""
"06.100";"06.10";"5";"Extraction of crude petroleum";"Extraction of crude petroleum";""
"06.200";"06.20";"5";"Extraction of natural gas";"Extraction of natural gas";""
"07";"B";"2";"Mining of metal ores";"Mining of metal ores";""
"07.1";"07";"3";"Mining of iron ores";"Mining of iron ores";""
"07.2";"07";"3";"Mining of non-ferrous metal ores";"Mining of non-ferrous metal ores";""
"07.10";"07.1";"4";"Mining of iron ores";"Mining of iron ores";""
"07.21";"07.2";"4";"Mining of uranium and thorium ores";"Mining of uran and thorium ores";""
"07.29";"07.2";"4";"Mining of other non-ferrous metal ores";"Mining of other non-ferr metal ores";""
"07.100";"07.10";"5";"Mining of iron ores";"Mining of iron ores";""
"07.210";"07.21";"5";"Mining of uranium and thorium ores";"Mining of uran and thorium ores";""
"07.290";"07.29";"5";"Mining of other non-ferrous metal ores";"Mining of other non-ferr metal ores";""
"08";"B";"2";"Other mining and quarrying";"Other mining and quarrying";""
"08.1";"08";"3";"Quarrying of stone, sand and clay";"Quarrying of stone, sand and clay";""
"08.9";"08";"3";"Mining and quarrying n.e.c.";"Mining and quarrying n.e.c.";""
"08.11";"08.1";"4";"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate";"Quarry. build. stone, limestone etc.";""
"08.12";"08.1";"4";"Operation of gravel and sand pits; mining of clays and kaolin";"Operation of gravel and sand pits";""
"08.91";"08.9";"4";"Mining of chemical and fertiliser minerals";"Mining of chem./fertiliser minerals";""
"08.92";"08.9";"4";"Extraction of peat";"Extraction of peat";""
"08.93";"08.9";"4";"Extraction of salt";"Extraction of salt";""
"08.99";"08.9";"4";"Other mining and quarrying n.e.c.";"Other mining and quarrying n.e.c.";""
"08.111";"08.11";"5";"Quarrying of ornamental and building stone";"Quarry. ornam. buliding stone";""
"08.112";"08.11";"5";"Quarrying of limestone, gypsum and chalk";"Quarry. limestone/gypsum/chalk";""
"08.113";"08.11";"5";"Quarrying of slate";"Quarrying of slate";""
"08.120";"08.12";"5";"Operation of gravel and sand pits; mining of clays and kaolin";"Operation of gravel and sand pits";""
"08.910";"08.91";"5";"Mining of chemical and fertiliser minerals";"Mining of chem./fertiliser minerals";""
"08.920";"08.92";"5";"Extraction of peat";"Extraction of peat";""
"08.930";"08.93";"5";"Extraction of salt";"Extraction of salt";""
"08.990";"08.99";"5";"Other mining and quarrying n.e.c.";"Other mining and quarrying n.e.c.";""
"09";"B";"2";"Mining support service activities";"Mining support service activities";""
"09.1";"09";"3";"Support activities for petroleum and natural gas extraction";"Support act. petroleum extraction";""
"09.9";"09";"3";"Support activities for other mining and quarrying";"Supp. for other mining/quarrying";""
"09.10";"09.1";"4";"Support activities for petroleum and natural gas extraction";"Supp. for petro/natural gas extrac";""
"09.90";"09.9";"4";"Support activities for other mining and quarrying";"Supp. for other mining/quarrying";""
"09.101";"09.10";"5";"Drilling services for petroleum and natural gas extraction";"Drill.serv. petrol/nat. gas extrac.";""
"09.109";"09.10";"5";"Other support activities for petroleum and natural gas extraction";"Other supp. serv. petro/nat. gas extr.";""
"09.900";"09.90";"5";"Support activities for other mining and quarrying";"Supp. for other mining/quarrying";""
"10";"C";"2";"Manufacture of food products";"Food products";""
"10.1";"10";"3";"Processing and preserving of meat and production of meat products";"Process. of meat/prod. of meat prod.";""
"10.2";"10";"3";"Processing and preserving of fish, crustaceans and molluscs";"Process. and preserv. of fish etc.";""
"10.3";"10";"3";"Processing and preserving of fruit and vegetables";"Process./preserv. of fruit/vegetab.";""
"10.4";"10";"3";"Manufacture of vegetable and animal oils and fats";"Manuf. of vegetab./animal. oils etc.";""
"10.5";"10";"3";"Manufacture of dairy products";"Manufacture of dairy products";""
"10.6";"10";"3";"Manufacture of grain mill products, starches and starch products";"Manuf. of grain mill prod./starches";""
"10.7";"10";"3";"Manufacture of bakery and farinaceous products";"Manuf. of bakery/farinaceous prod.";""
"10.8";"10";"3";"Manufacture of other food products";"Manuf. of other food products";""
"10.9";"10";"3";"Manufacture of prepared animal feeds";"Manuf. of prepared animal feeds";""
"10.11";"10.1";"4";"Processing and preserving of meat";"Processing and preserving of meat";""
"10.12";"10.1";"4";"Processing and preserving of poultry meat";"Process./preserv. of poultry meat";""
"10.13";"10.1";"4";"Production of meat and poultry meat products";"Prod. of meat/poultry meat prod.";""
"10.20";"10.2";"4";"Processing and preserving of fish, crustaceans and molluscs";"Process. and preserv. of fish etc.";""
"10.31";"10.3";"4";"Processing and preserving of potatoes";"Process. and preserv. of potatoes";""
"10.32";"10.3";"4";"Manufacture of fruit and vegetable juice";"Fruit and vegetable juice";""
"10.39";"10.3";"4";"Other processing and preserving of fruit and vegetables";"Processing of fruit, vegetables n.e.c.";""
"10.41";"10.4";"4";"Manufacture of oils and fats";"Manufacture of oils and fats";""
"10.42";"10.4";"4";"Manufacture of margarine and similar edible fats";"Manuf. of margarine/sim. edible fats";""
"10.51";"10.5";"4";"Operation of dairies and cheese making";"Oper. of dairies /cheese making";""
"10.52";"10.5";"4";"Manufacture of ice cream";"Manufacture of ice cream";""
"10.61";"10.6";"4";"Manufacture of grain mill products";"Manuf. of grain mill products";""
"10.62";"10.6";"4";"Manufacture of starches and starch products";"Manuf. of starches/starch products";""
"10.71";"10.7";"4";"Manufacture of bread; manufacture of fresh pastry goods and cakes";"Manuf. of bread/ fresh cakes etc.";""
"10.72";"10.7";"4";"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes";"Manuf. of rusks, biscuits etc.";""
"10.73";"10.7";"4";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";"Manuf. of macaroni, noodles etc.";""
"10.81";"10.8";"4";"Manufacture of sugar";"Manufacture of sugar";""
"10.82";"10.8";"4";"Manufacture of cocoa, chocolate and sugar confectionery";"Manuf. of cocoa, chocolate etc.";""
"10.83";"10.8";"4";"Processing of tea and coffee";"Processing of tea and coffee";""
"10.84";"10.8";"4";"Manufacture of condiments and seasonings";"Manuf. of condiments and seasonings";""
"10.85";"10.8";"4";"Manufacture of prepared meals and dishes";"Manuf. of prepared meat and dishes";""
"10.86";"10.8";"4";"Manufacture of homogenised food preparations and dietetic food";"Manuf. of dietetic food etc.";""
"10.89";"10.8";"4";"Manufacture of other food products n.e.c.";"Manuf. of other products n.e.c.";""
"10.91";"10.9";"4";"Manufacture of prepared feeds for farm animals";"Manuf. of prep. feeds for farm anim.";""
"10.92";"10.9";"4";"Manufacture of prepared pet foods";"Manuf. of prepared pet foods";""
"10.110";"10.11";"5";"Processing and preserving of meat";"Processing and preserving of meat";""
"10.120";"10.12";"5";"Processing and preserving of poultry meat";"Process./preserv. of poultry meat";""
"10.130";"10.13";"5";"Production of meat and poultry meat products";"Prod. of meat/poultry meat prod.";""
"10.201";"10.20";"5";"Drying and salting of fish";"Drying and salting of fish";""
"10.202";"10.20";"5";"Freezing of fish, fish fillets, crustaceans and molluscs";"Freezing of fish, fish fillets etc.";""
"10.203";"10.20";"5";"Canning of fish and fish products";"Canning of fish and fish products";""
"10.209";"10.20";"5";"Slaughtering and other processing and preserving of fish and fish products";"Other proc./preserv. of fish etc.";""
"10.310";"10.31";"5";"Processing and preserving of potatoes";"Process. and preserv. of potatoes";""
"10.320";"10.32";"5";"Manufacture of fruit and vegetable juice";"Fruit and vegetable juice";""
"10.390";"10.39";"5";"Other processing and preserving of fruit and vegetables";"Processing of fruit, vegetables n.e.c.";""
"10.411";"10.41";"5";"Manufacture of crude fish oils and fats";"Manuf. of crude fish oils and fats";""
"10.412";"10.41";"5";"Manufacture of other crude oils and fats";"Manuf. of other crude oils and fats";""
"10.413";"10.41";"5";"Manufacture of refined oils and fats";"Manuf. of refined oils and fats";""
"10.420";"10.42";"5";"Manufacture of margarine and similar edible fats";"Manuf. of margarine/sim. edible fats";""
"10.510";"10.51";"5";"Operation of dairies and cheese making";"Oper. of dairies/cheese making";""
"10.520";"10.52";"5";"Manufacture of ice cream";"Manufacture of ice cream";""
"10.610";"10.61";"5";"Manufacture of grain mill products";"Manuf. of grain mill products";""
"10.620";"10.62";"5";"Manufacture of starches and starch products";"Manuf. of starches/starch products";""
"10.710";"10.71";"5";"Manufacture of bread; manufacture of fresh pastry goods and cakes";"Manuf. of bread/fresh cakes etc.";""
"10.720";"10.72";"5";"Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes";"Manuf. of rusks, biscuits etc.";""
"10.730";"10.73";"5";"Manufacture of macaroni, noodles, couscous and similar farinaceous products";"Manuf. of macaroni, noodles etc.";""
"10.810";"10.81";"5";"Manufacture of sugar";"Manufacture of sugar";""
"10.820";"10.82";"5";"Manufacture of cocoa, chocolate and sugar confectionery";"Manuf. of cocoa, chocolate etc.";""
"10.830";"10.83";"5";"Processing of tea and coffee";"Processing of tea and coffee";""
"10.840";"10.84";"5";"Manufacture of condiments and seasonings";"Manuf. of condiments and seasonings";""
"10.850";"10.85";"5";"Manufacture of prepared meals and dishes";"Manuf. of prepared meat and dishes";""
"10.860";"10.86";"5";"Manufacture of homogenised food preparations and dietetic food";"Manuf. of dietetic food etc.";""
"10.890";"10.89";"5";"Manufacture of other food products n.e.c.";"Manuf. of other products n.e.c.";""
"10.910";"10.91";"5";"Manufacture of prepared feeds for farm animals";"Manuf. of prep. feeds for farm anim.";""
"10.920";"10.92";"5";"Manufacture of prepared pet foods";"Manuf. of prepared pet foods";""
"11";"C";"2";"Manufacture of beverages";"Beverages";""
"11.0";"11";"3";"Manufacture of beverages";"Manufacture of beverages";""
"11.01";"11.0";"4";"Distilling, rectifying and blending of spirits";"Distil, rectify., blend. of spirits";""
"11.02";"11.0";"4";"Manufacture of wine from grape";"Manuf. of wine from grapes";""
"11.03";"11.0";"4";"Manufacture of cider and other fruit wines";"Manuf. of cider/other fruit wines";""
"11.04";"11.0";"4";"Manufacture of other non-distilled fermented beverages";"Non-distill. fermented beverages";""
"11.05";"11.0";"4";"Manufacture of beer";"Manufacture of beer";""
"11.06";"11.0";"4";"Manufacture of malt";"Manufacture of malt";""
"11.07";"11.0";"4";"Manufacture of soft drinks; production of mineral waters and other bottled waters";"Prod. of mineral waters etc.";""
"11.010";"11.01";"5";"Distilling, rectifying and blending of spirits";"Distil, rectify., blend. of spirits";""
"11.020";"11.02";"5";"Manufacture of wine from grape";"Manuf. of wine from grapes";""
"11.030";"11.03";"5";"Manufacture of cider and other fruit wines";"Manuf. of cider/other fruit wines";""
"11.040";"11.04";"5";"Manufacture of other non-distilled fermented beverages";"Non-distill. fermented beverages";""
"11.050";"11.05";"5";"Manufacture of beer";"Manufacture of beer";""
"11.060";"11.06";"5";"Manufacture of malt";"Manufacture of malt";""
"11.070";"11.07";"5";"Manufacture of soft drinks; production of mineral waters and other bottled waters";"Prod. of mineral waters";""
"12";"C";"2";"Manufacture of tobacco products";"Tobacco products";""
"12.0";"12";"3";"Manufacture of tobacco products";"Tobacco products";""
"12.00";"12.0";"4";"Manufacture of tobacco products";"Tobacco products";""
"12.000";"12.00";"5";"Manufacture of tobacco products";"Tobacco products";""
"13";"C";"2";"Manufacture of textiles";"Textiles";""
"13.1";"13";"3";"Preparation and spinning of textile fibres";"Prep. and spinning of textile fibres";""
"13.2";"13";"3";"Weaving of textiles";"Weaving of textiles";""
"13.3";"13";"3";"Finishing of textiles";"Finishing of textiles";""
"13.9";"13";"3";"Manufacture of other textiles";"Manufacture of other textiles";""
"13.10";"13.1";"4";"Preparation and spinning of textile fibres";"Prep. and spinning of textile fibres";""
"13.20";"13.2";"4";"Weaving of textiles";"Weaving of textiles";""
"13.30";"13.3";"4";"Finishing of textiles";"Finishing of textiles";""
"13.91";"13.9";"4";"Manufacture of knitted and crocheted fabrics";"Manuf. knitted and crocheted fabrics";""
"13.92";"13.9";"4";"Manufacture of made-up textile articles, except apparel";"Manuf. of made-up text. art. etc.";""
"13.93";"13.9";"4";"Manufacture of carpets and rugs";"Manuf. of carpets and rugs";""
"13.94";"13.9";"4";"Manufacture of cordage, rope, twine and rugs";"Manuf. of cordage, rope etc.";""
"13.95";"13.9";"4";"Manufacture of non-wovens and articles made from non-wovens, except apparel";"Manuf. of non-wovens and -articles";""
"13.96";"13.9";"4";"Manufacture of other technical and industrial textiles";"Manuf. of other tech./ind. textiles";""
"13.99";"13.9";"4";"Manufacture of other textiles n.e.c.";"Manuf. of other textiles n.e.c.";""
"13.100";"13.10";"5";"Preparation and spinning of textile fibres";"Prep. and spinning of textile fibres";""
"13.200";"13.20";"5";"Weaving of textiles";"Weaving of textiles";""
"13.300";"13.30";"5";"Finishing of textiles";"Finishing of textiles";""
"13.910";"13.91";"5";"Manufacture of knitted and crocheted fabrics";"Manuf. knitted and crocheted fabrics";""
"13.921";"13.92";"5";"Manufacture of house-hold linen";"Manuf. of house-hold linen";""
"13.929";"13.92";"5";"Manufacture of other made-up textile articles, except apparel";"Other made-up text.art. exc.apparel";""
"13.930";"13.93";"5";"Manufacture of carpets and rugs";"Manuf. of carpets and rugs";""
"13.940";"13.94";"5";"Manufacture of cordage, rope, twine and rugs";"Manuf. of cordage, rope etc.";""
"13.950";"13.95";"5";"Manufacture of non-wovens and articles made from non-wovens, except apparel";"Manuf. of non-wovens and -articles";""
"13.960";"13.96";"5";"Manufacture of other technical and industrial textiles";"Manuf. of other tech./ind. textiles";""
"13.990";"13.99";"5";"Manufacture of other textiles n.e.c.";"Manuf. of other textiles n.e.c.";""
"14";"C";"2";"Manufacture of wearing apparel";"Wearing apparel";""
"14.1";"14";"3";"Manufacture of wearing apparel, except fur apparel";"Manuf. of wearing app. exc. fur app.";""
"14.2";"14";"3";"Manufacture of articles of fur";"Manufacture of articles of fur";""
"14.3";"14";"3";"Manufacture of knitted and crocheted apparel";"Manuf. of knitted and crocheted app";""
"14.11";"14.1";"4";"Manufacture of leather clothes";"Manuf. of leather clothes";""
"14.12";"14.1";"4";"Manufacture of workwear";"Manufacture of workwear";""
"14.13";"14.1";"4";"Manufacture of other outerwear";"Manufacture of other outerwear";""
"14.14";"14.1";"4";"Manufacture of underwear";"Manufacture of underwear";""
"14.19";"14.1";"4";"Manufacture of other wearing apparel and accessories";"Manuf. of other wearing apparel";""
"14.20";"14.2";"4";"Manufacture of articles of fur";"Manufacture of articles of fur";""
"14.31";"14.3";"4";"Manufacture of knitted and crocheted hosiery";"Manuf. knitted and croch. hosiery";""
"14.39";"14.3";"4";"Manufacture of other knitted and crocheted apparel";"Other knitted and croch. apparel";""
"14.110";"14.11";"5";"Manufacture of leather clothes";"Manuf. of leather clothes";""
"14.120";"14.12";"5";"Manufacture of workwear";"Manufacture of workwear";""
"14.130";"14.13";"5";"Manufacture of other outerwear";"Manufacture of other outerwear";""
"14.140";"14.14";"5";"Manufacture of underwear";"Manufacture of underwear";""
"14.190";"14.19";"5";"Manufacture of other wearing apparel and accessories";"Manuf. of other wearing apparel";""
"14.200";"14.20";"5";"Manufacture of articles of fur";"Manufacture of articles of fur";""
"14.310";"14.31";"5";"Manufacture of knitted and crocheted hosiery";"Manuf. knitted and croch. hosiery";""
"14.390";"14.39";"5";"Manufacture of other knitted and crocheted apparel";"Other knitted and croch. apparel";""
"15";"C";"2";"Manufacture of leather and related products";"Leather and leather products";""
"15.1";"15";"3";"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur";"Tanning/dressing of leather etc.";""
"15.2";"15";"3";"Manufacture of footwear";"Manufacture of footwear";""
"15.11";"15.1";"4";"Tanning and dressing of leather; dressing and dyeing of fur";"Tanning/dressing of leather etc.";""
"15.12";"15.1";"4";"Manufacture of luggage, handbags and the like, saddlery and harness";"Manuf. of luggage, handbags etc.";""
"15.20";"15.2";"4";"Manufacture of footwear";"Manufacture of footwear";""
"15.110";"15.11";"5";"Tanning and dressing of leather; dressing and dyeing of fur";"Tanning/dressing of leather etc.";""
"15.120";"15.12";"5";"Manufacture of luggage, handbags and the like, saddlery and harness";"Manuf. of luggage, handbags etc.";""
"15.200";"15.20";"5";"Manufacture of footwear";"Manufacture of footwear";""
"16";"C";"2";"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials, except furniture";"Wood and wood products";""
"16.1";"16";"3";"Sawing and planing of wood";"Sawing and planing of wood";""
"16.2";"16";"3";"Manufacture of products of wood, cork, straw and plaiting materials";"Manuf. of prod. of wood, cork etc.";""
"16.10";"16.1";"4";"Sawing and planing of wood";"Sawing and planing of wood";""
"16.21";"16.2";"4";"Manufacture of veneer sheets and wood-based materials";"Veneer sheets, wood-based materials";""
"16.22";"16.2";"4";"Manufacture of assembled parquet floors";"Manuf. of assembled parquet floors";""
"16.23";"16.2";"4";"Manufacture of other builders' carpentry and joinery";"Manuf. builders' carp./joinery etc.";""
"16.24";"16.2";"4";"Manufacture of wooden containers";"Manuf. of wooden containers";""
"16.29";"16.2";"4";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials";"Other prod. of wood, cork, straw etc.";""
"16.100";"16.10";"5";"Sawing and planing of wood";"Sawing and planing of wood";""
"16.210";"16.21";"5";"Manufacture of veneer sheets and wood-based materials";"Veneer sheets, wood-based materials";""
"16.220";"16.22";"5";"Manufacture of assembled parquet floors";"Manuf. of assembled parquet floors";""
"16.231";"16.23";"5";"Manufacture of wooden prefabricated buildings";"Manuf. wooden prefabr. buildings";""
"16.232";"16.23";"5";"Manufacture of builders' carpentry and joinery";"Builders' carpentry and joinery";""
"16.240";"16.24";"5";"Manufacture of wooden containers";"Manuf. of wooden containers";""
"16.290";"16.29";"5";"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials";"Other prod. of wood, cork, straw etc.";""
"17";"C";"2";"Manufacture of paper and paper products";"Paper and paper products";""
"17.1";"17";"3";"Manufacture of pulp, paper and paperboard";"Manuf. of pulp/paper/paperboard";""
"17.2";"17";"3";"Manufacture of articles of paper and paperboard";"Manuf. of art. of paper/paperboard";""
"17.11";"17.1";"4";"Manufacture of pulp";"Manufacture of pulp";""
"17.12";"17.1";"4";"Manufacture of paper and paperboard";"Manuf. of paper and paperboard";""
"17.21";"17.2";"4";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";"Manuf. of corrugat. paper and -board";""
"17.22";"17.2";"4";"Manufacture of household and sanitary goods and of toilet requisites";"Manuf. of household and sanitary goods";""
"17.23";"17.2";"4";"Manufacture of paper stationery";"Manuf. of paper stationery";""
"17.24";"17.2";"4";"Manufacture of wallpaper";"Manuf. of wallpaper";""
"17.29";"17.2";"4";"Manufacture of other articles of paper and paperboard";"Manuf. of other art. of paper/-board";""
"17.110";"17.11";"5";"Manufacture of pulp";"Manufacture of pulp";""
"17.120";"17.12";"5";"Manufacture of paper and paperboard";"Manuf. of paper and paperboard";""
"17.210";"17.21";"5";"Manufacture of corrugated paper and paperboard and of containers of paper and paperboard";"Manuf. of corrugat. paper and -board";""
"17.220";"17.22";"5";"Manufacture of household and sanitary goods and of toilet requisites";"Manuf. of household and sanitary goods";""
"17.230";"17.23";"5";"Manufacture of paper stationery";"Manuf. of paper stationery";""
"17.240";"17.24";"5";"Manufacture of wallpaper";"Manuf. of wallpaper";""
